,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status
1160,G,72.0,178,Smith Jeremy,30,Not Injured
1161,G,77.0,220,Smith Mike,37,Not Injured
1162,RW,72.0,185,Smith Reilly,28,Not Injured
1163,LW,74.0,208,Smith Zack,31,Injured
1164,RW,72.0,223,Smith-Pelly Devante,27,Not Injured
1165,LW,70.0,184,Sobotka Vladimir,32,Injured
1166,C,75.0,210,Soderberg Carl,33,Not Injured
1167,C,73.0,181,Somppi Otto,21,Not Injured
1168,LW,71.0,175,Sorensen Marcus,27,Injured
1169,RW,71.0,185,Soshnikov Nikita,25,Injured
1170,D,78.0,243,Sosunov Oleg,21,Not Injured
1171,D,77.0,208,Soucy Carson,24,Not Injured
1172,C,71.0,172,Soy Tyler,22,Not Injured
1173,G,75.0,201,Sparks Garret,26,Injured
1174,D,74.0,203,Spencer Matt,22,Not Injured
1175,C,75.0,215,Spezza Jason,36,Not Injured
1176,C,71.0,191,Spooner Ryan,27,Injured
1177,RW,72.0,180,Sprong Daniel,22,Not Injured
1178,D,76.0,205,Sproul Ryan,26,Not Injured
1179,D,69.0,167,Spurgeon Jared,29,Not Injured
1180,C,76.0,207,Staal Eric,34,Not Injured
1181,C,76.0,220,Staal Jordan,30,Injured
1182,D,76.0,213,Staal Marc,32,Injured
1183,RW,74.0,215,Stafford Drew,33,Injured
1184,C,73.0,195,Stajan Matt,35,Not Injured
1185,G,72.0,198,Stalock Alex,31,Not Injured
1186,C,73.0,194,Stamkos Steven,29,Not Injured
1187,D,79.0,231,Stanley Logan,21,Not Injured
1188,G,77.0,195,Starrett Shane,24,Not Injured
1189,C,72.0,193,Stastny Paul,33,Injured
1190,D,70.0,186,Stecher Troy,25,Injured
1191,C,72.0,180,Steel Sam,21,Not Injured
1192,LW,72.0,211,Steen Alexander,35,Not Injured
1193,RW,71.0,195,Stempniak Lee,36,Not Injured
1194,C,76.0,210,Stenlund Kevin,22,Not Injured
1195,C,72.0,196,Stepan Derek,29,Injured
1196,D,74.0,199,Stephens Devante,22,Not Injured
1197,C,72.0,203,Stephenson Chandler,25,Not Injured
1198,C,74.0,204,Stevens John,25,Not Injured
1199,RW,74.0,242,Stewart Chris,31,Not Injured
1200,D,74.0,195,Stillman Riley,21,Not Injured
1201,G,78.0,210,Stolarz Anthony,25,Injured
1202,RW,76.0,219,Stone Mark,27,Not Injured
1203,D,75.0,210,Stone Michael,29,Injured
1204,D,76.0,216,Stoner Clayton,34,Not Injured
1205,C,72.0,177,Stotts Riley,19,Not Injured
1206,D,71.0,190,Stralman Anton,32,Injured
1207,C,71.0,200,Street Ben,32,Not Injured
1208,C,75.0,200,Strome Dylan,22,Not Injured
1209,C,73.0,194,Strome Ryan,25,Not Injured
1210,RW,72.0,165,Studenic Marian,20,Not Injured
1211,C,73.0,171,Studnicka Jack,20,Not Injured
1212,G,74.0,200,Subban Malcolm,25,Not Injured
1213,D,72.0,210,Subban P.K.,30,Injured
1214,D,74.0,207,Sulak Libor,25,Not Injured
1215,C,75.0,209,Sundqvist Oskar,25,Injured
1216,C,72.0,180,Suomela Antti,25,Not Injured
1217,D,79.0,220,Sustr Andrej,28,Not Injured
1218,D,74.0,208,Suter Ryan,34,Not Injured
1219,C,75.0,190,Sutter Brandon,30,Injured
1220,RW,74.0,195,Svechnikov Andrei,19,Not Injured
1221,LW,74.0,199,Svechnikov Evgeny,22,Not Injured
1222,G,75.0,192,Svoboda Miroslav,24,Not Injured
1223,RW,71.0,200,Szwarz Jordan,28,Not Injured
1224,G,76.0,196,Talbot Cam,32,Not Injured
1225,LW,70.0,176,Tammela Jonne,21,Not Injured
1226,LW,72.0,180,Tanev Brandon,27,Injured
1227,D,74.0,197,Tanev Christopher,29,Not Injured
1228,LW,76.0,221,Tangradi Eric,30,Not Injured
1229,D,70.0,182,Taormina Matt,32,Not Injured
1230,RW,72.0,225,Tarasenko Vladimir,27,Injured
1231,LW,70.0,182,Tatar Tomas,28,Not Injured
1232,C,73.0,209,Tavares John,28,Not Injured
1233,D,71.0,181,Taylor  Jeff,25,Not Injured
1234,D,74.0,205,Tennyson Matt,29,Not Injured
1235,LW,71.0,191,Teravainen Teuvo,24,Not Injured
1236,LW,70.0,191,Terry Chris,30,Not Injured
1237,RW,73.0,175,Terry Troy,21,Injured
